case,method,overlap_floor_ratio,effective_conductivity_W_mK,change_vs_nominal_percent,energy_balance_error
packing_seed_18427,random_near_mean,1e-10,0.2302634543356551,0.0,3.5032215859924464e-13
packing_seed_18427,degree,1e-10,0.23131301358879577,0.0,5.151094093471588e-13
packing_seed_18427,heat_path,1e-10,0.24367558467968223,0.0,3.7318721519583504e-13
packing_seed_18427,swap_optimized,1e-10,0.3450573537238081,0.0,8.660942455789471e-13
packing_seed_18427,mlp,1e-10,0.2804978166086435,0.0,1.340042006965553e-12
packing_seed_18427,gnn,1e-10,0.3007688203169897,0.0,3.4484279675391914e-13
packing_seed_18427,random_near_mean,1e-08,0.2302634543356551,0.0,3.5032215859924464e-13
packing_seed_18427,degree,1e-08,0.23131301358879577,0.0,5.151094093471588e-13
packing_seed_18427,heat_path,1e-08,0.24367558467968223,0.0,3.7318721519583504e-13
packing_seed_18427,swap_optimized,1e-08,0.3450573537238081,0.0,8.660942455789471e-13
packing_seed_18427,mlp,1e-08,0.2804978166086435,0.0,1.340042006965553e-12
packing_seed_18427,gnn,1e-08,0.3007688203169897,0.0,3.4484279675391914e-13
packing_seed_18427,random_near_mean,1e-06,0.23026475437619692,0.0005645883084604009,2.4778505403189397e-12
packing_seed_18427,degree,1e-06,0.23131405198762253,0.00044891500510235716,2.7481323453426558e-12
packing_seed_18427,heat_path,1e-06,0.2436768108939802,0.0005032159047013707,1.7936748556054853e-12
packing_seed_18427,swap_optimized,1e-06,0.34505969351602317,0.0006780879149070884,5.957628289059371e-13
packing_seed_18427,mlp,1e-06,0.28049981282129927,0.0007116678054419623,1.2070552202861504e-13
packing_seed_18427,gnn,1e-06,0.30077122252198235,0.0007986881719102001,1.4729810522923146e-12
packing_seed_29173,random_near_mean,1e-10,0.24254433312307164,0.0,1.2065625585152855e-12
packing_seed_29173,degree,1e-10,0.2405583187835307,0.0,3.4541674520725227e-13
packing_seed_29173,heat_path,1e-10,0.2538622104416306,0.0,5.962798553329842e-13
packing_seed_29173,swap_optimized,1e-10,0.3646634528079009,0.0,3.5003286674896226e-13
packing_seed_29173,mlp,1e-10,0.27661925238161406,0.0,1.2662160268127093e-12
packing_seed_29173,gnn,1e-10,0.29059592185945016,0.0,1.7845735843576635e-13
packing_seed_29173,random_near_mean,1e-08,0.24254433312307164,0.0,1.2065625585152855e-12
packing_seed_29173,degree,1e-08,0.2405583187835307,0.0,3.4541674520725227e-13
packing_seed_29173,heat_path,1e-08,0.2538622104416306,0.0,5.962798553329842e-13
packing_seed_29173,swap_optimized,1e-08,0.3646634528079009,0.0,3.5003286674896226e-13
packing_seed_29173,mlp,1e-08,0.27661925238161406,0.0,1.2662160268127093e-12
packing_seed_29173,gnn,1e-08,0.29059592185945016,0.0,1.7845735843576635e-13
packing_seed_29173,random_near_mean,1e-06,0.24254433312307164,0.0,1.2065625585152855e-12
packing_seed_29173,degree,1e-06,0.2405583187835307,0.0,3.4541674520725227e-13
packing_seed_29173,heat_path,1e-06,0.2538622104416306,0.0,5.962798553329842e-13
packing_seed_29173,swap_optimized,1e-06,0.3646634528079009,0.0,3.5003286674896226e-13
packing_seed_29173,mlp,1e-06,0.27661925238161406,0.0,1.2662160268127093e-12
packing_seed_29173,gnn,1e-06,0.29059592185945016,0.0,1.7845735843576635e-13
packing_seed_37811,random_near_mean,1e-10,0.23508394417526196,0.0,8.86591572525788e-13
packing_seed_37811,degree,1e-10,0.23919513964909708,0.0,3.633095669167615e-14
packing_seed_37811,heat_path,1e-10,0.2543861817848038,0.0,2.3524782676097494e-12
packing_seed_37811,swap_optimized,1e-10,0.36363465123763283,0.0,9.658569005780665e-13
packing_seed_37811,mlp,1e-10,0.2867411627403145,0.0,1.3039767669147082e-12
packing_seed_37811,gnn,1e-10,0.3192610393144542,0.0,3.2433857891061635e-13
packing_seed_37811,random_near_mean,1e-08,0.23508394417526196,0.0,8.86591572525788e-13
packing_seed_37811,degree,1e-08,0.23919513964909708,0.0,3.633095669167615e-14
