method,effective_conductivity_W_mK,high_count,high_high_contact_count,high_cluster_count,largest_high_cluster_size,largest_high_cluster_fraction,spanning_high_cluster_count,largest_high_cluster_vertical_extent_ratio,high_particles_linked_to_hot_wall,high_particles_linked_to_cold_wall,high_incident_contact_heat_fraction,high_high_contact_heat_fraction,mean_vertical_alignment_high_high,heat_weighted_vertical_alignment_high_high,minimum_series_path_resistance_K_W,minimum_series_path_conductance_W_K,minimum_resistance_path_particle_count,minimum_resistance_path_high_count,minimum_resistance_path_high_fraction,minimum_resistance_path_atom_ids,relative_energy_balance_error,case
random_near_mean,0.2302634543356551,50,21,29,6,0.12,0,0.35914918932818896,3,4,0.306523823925988,0.04497203096929326,0.46715341279019545,0.7264654062616411,9836.32919712945,0.00010166394189936542,9,4,0.4444444444444444,422 417 400 369 411 492 356 437 440,3.5032215859924464e-13,packing_seed_18427
degree,0.23131301358879577,50,33,22,7,0.14,0,0.18410598815637463,0,0,0.3784825591675393,0.0774723071631234,0.4317615827562794,0.6127874445257991,9042.186997575394,0.00011059271393835847,8,3,0.375,418 402 413 459 499 479 475 232,5.151094093471588e-13,packing_seed_18427
heat_path,0.24367558467968223,50,26,27,7,0.14,0,0.4029327474137408,0,0,0.4205698526395862,0.08318471978098421,0.6090619743362863,0.6753953021611276,7498.1902435962675,0.00013336551454586485,8,4,0.5,418 402 413 459 499 479 475 232,3.7318721519583504e-13,packing_seed_18427
swap_optimized,0.3450573537238081,50,62,5,27,0.54,2,1.0186139191261843,5,6,0.49495887218584045,0.3647376133279919,0.6557882463336155,0.7418490333079468,1541.5397508798135,0.0006487020522365791,8,8,1.0,401 410 368 408 468 454 483 328,8.660942455789471e-13,packing_seed_18427
mlp,0.2804978166086435,50,20,31,6,0.12,0,0.5006336311939684,10,4,0.41946144101685096,0.10929294120496977,0.6505621360802036,0.7874319990714939,6282.3969714361965,0.00015917491437529991,8,5,0.625,418 366 413 459 499 479 475 232,1.340042006965553e-12,packing_seed_18427
gnn,0.3007688203169897,50,45,15,12,0.24,0,0.6522197530665801,9,5,0.4300945949101014,0.1934652574636553,0.6474681974815752,0.80270770520478,4854.924374900627,0.0002059764319234053,8,6,0.75,298 366 413 459 499 479 475 232,3.4484279675391914e-13,packing_seed_18427
random_near_mean,0.24254433312307164,50,13,37,5,0.1,0,0.22858500930978187,5,5,0.30056753534250497,0.03681154484364012,0.518440638346963,0.6707512741038633,10022.57940060648,9.977471467469628e-05,8,2,0.25,424 434 388 426 486 465 491 500,1.2065625585152855e-12,packing_seed_29173
degree,0.2405583187835307,50,40,22,14,0.28,0,0.3730618327189509,0,0,0.35447420169039034,0.07792486573573675,0.4593608624677338,0.5992428698542164,10620.99747253949,9.415311533455239e-05,10,5,0.5,401 411 422 245 334 309 199 213 198 237,3.4541674520725227e-13,packing_seed_29173
heat_path,0.2538622104416306,50,24,28,10,0.2,0,0.4620839118611905,0,0,0.42564333894917705,0.0638413012939684,0.5015182107003208,0.6324822568522679,7723.118195222989,0.00012948137976426854,9,5,0.5555555555555556,424 434 294 273 247 486 465 491 500,5.962798553329842e-13,packing_seed_29173
swap_optimized,0.3646634528079009,50,61,4,29,0.58,2,1.0135745004773509,5,7,0.5012216472254344,0.3771597910244634,0.6479137510638509,0.7552606480658142,1319.4644654466385,0.0007578832368642077,8,8,1.0,424 434 388 426 486 465 491 500,3.5003286674896226e-13,packing_seed_29173
mlp,0.27661925238161406,50,20,31,5,0.1,0,0.24460531338499739,3,7,0.41769609982290734,0.07405616589474139,0.5738398883756451,0.7119490045128256,6012.423948846394,0.00016632227010403525,8,5,0.625,425 382 431 478 461 451 492 458,1.2662160268127093e-12,packing_seed_29173
gnn,0.29059592185945016,50,47,14,15,0.3,0,0.645263411396349,2,7,0.42397131055917414,0.18032159129879657,0.6450252813142834,0.7550021936615285,7549.503618517475,0.00013245903976351412,8,4,0.5,425 382 431 478 461 451 492 458,1.7845735843576635e-13,packing_seed_29173
random_near_mean,0.23508394417526196,50,16,34,5,0.1,0,0.28676309575270936,2,4,0.3112572336373189,0.03853949125954148,0.49330225754282986,0.6714170643451263,9181.365060087459,0.00010891626609501946,8,3,0.375,296 418 425 464 488 477 233 229,8.86591572525788e-13,packing_seed_37811
degree,0.23919513964909708,50,41,19,26,0.52,0,0.7472154609759157,0,0,0.3777965034753353,0.09740200983875266,0.5485253411516069,0.6772459177996872,8025.0148158107295,0.00012461036184379612,14,11,0.7857142857142857,292 295 273 313 329 96 108 118 85 83 256 440 451 201,3.633095669167615e-14,packing_seed_37811
heat_path,0.2543861817848038,50,25,26,8,0.16,0,0.4496642315683155,0,0,0.43322993450699115,0.09892327429017639,0.5906726590432035,0.7139587187275639,7718.382508030417,0.00012956082429959549,9,5,0.5555555555555556,434 402 430 471 366 473 468 438 487,2.3524782676097494e-12,packing_seed_37811
swap_optimized,0.36363465123763283,50,56,4,19,0.38,2,1.011479792446118,6,4,0.5029744560541194,0.36270323016483424,0.7101178705345929,0.8054279242470266,1365.2614107815145,0.0007324604592959025,8,8,1.0,296 418 425 464 488 477 233 229,9.658569005780665e-13,packing_seed_37811
mlp,0.2867411627403145,50,19,32,6,0.12,0,0.5400547091566076,11,6,0.406334964410753,0.08881968471568548,0.5699404970354954,0.8289764265062319,6681.939660086751,0.00014965714311568882,8,5,0.625,434 402 430 399 443 483 495 487,1.3039767669147082e-12,packing_seed_37811
gnn,0.3192610393144542,50,56,9,19,0.38,0,0.6155710378572756,5,6,0.4513075993216946,0.25749018650080663,0.6427919562149825,0.7923516146119148,5961.976837757527,0.00016772960164268753,8,5,0.625,296 418 425 464 488 477 233 229,3.2433857891061635e-13,packing_seed_37811
random_near_mean,0.22672206045825166,50,15,35,9,0.18,0,0.32305851509291483,4,2,0.3144182227340441,0.03465225767204967,0.4659873390062909,0.5432032891160516,11342.105451436802,8.816705190069639e-05,9,3,0.3333333333333333,416 116 382 140 491 434 481 447 448,1.4632486914736859e-12,packing_seed_46549
