seed,particles,high_count,fixed_high_particle_volume_m3,homogeneous_k_eff_W_mK,random_mean_k_eff_W_mK,random_std_k_eff_W_mK,degree_k_eff_W_mK,heat_path_k_eff_W_mK,optimized_mean_k_eff_W_mK,optimized_std_k_eff_W_mK,optimized_best_k_eff_W_mK,optimized_improvement_vs_random_mean_percent,optimized_improvement_vs_homogeneous_percent,independent_k_eff_W_mK,independent_energy_balance_error,thermally_unanchored_particles,spanning_component_count
18427,500,50,2.2514747350726852e-07,0.09392563841884521,0.11123105321461323,0.0019442065957785074,0.11362043613436831,0.12185743181780974,0.17473767953235472,0.0025868779617737392,0.1789481826350723,60.87969812692793,90.52112463381266,0.1789481826350723,2.9276307743605908e-12,3,1
29173,500,50,2.2514747350726852e-07,0.08614881799090231,0.10194278017026465,0.001749711492974237,0.10376388788951896,0.11045324644557976,0.15294077595912042,0.0031011830464600593,0.15600268073055626,53.02965101599237,81.08510873246205,0.15600268073055626,2.3544565178342596e-12,1,1
37811,500,50,2.2514747350726852e-07,0.095574615678913,0.11316568628849416,0.0019174835703304432,0.11938942709785054,0.12509606566159645,0.1743715826446473,0.0074721819595915985,0.18101715679338773,59.95763621484986,89.39878074061276,0.18101715679338773,5.890275676004226e-13,3,1
46549,500,50,2.2514747350726852e-07,0.09477348242471414,0.1121647598751567,0.001739299846251843,0.11391090329564232,0.12153241233901685,0.16684412855403752,0.0023949476712836638,0.16918459118522747,50.83578066189045,78.51469298875217,0.16918459118522747,3.0353789060897434e-12,5,1
55291,500,50,2.2514747350726852e-07,0.09545881369324036,0.11329851166994748,0.0020979851116337224,0.11439598426869199,0.12601608422575022,0.1759725216055266,0.005764264536526481,0.18219071624693065,60.80592195039123,90.8579304498857,0.18219071624693065,2.829376698368885e-13,6,1
64109,500,50,2.2514747350726852e-07,0.08935447330742684,0.10561517617477682,0.001918066876175688,0.11306785146388393,0.12017572643697158,0.1669504632598919,0.0019942729815641286,0.16894686215059884,59.96456974234257,89.0748788472312,0.16894686215059884,1.1463193229748261e-12,11,1
72869,500,50,2.2514747350726852e-07,0.09365574046715801,0.11074757091419682,0.0020563047578274897,0.11600354038239212,0.12669375068080369,0.17092492705819168,0.0035058396934231745,0.17539823277284528,58.376595825056455,87.27974590553973,0.17539823277284528,2.0107740326269887e-13,9,1
81647,500,50,2.2514747350726852e-07,0.09717201194959028,0.1147210385116395,0.0018333828737647473,0.11416871057703197,0.1246714526770029,0.17131170133778909,0.0032533103043472598,0.17497914338563886,52.525766551429555,80.07154516509591,0.17497914338563886,1.4592871608759887e-13,7,1
90439,500,50,2.2514747350726852e-07,0.09629850599978342,0.11402077433575278,0.0023719699598950135,0.114238720276876,0.12368911851993511,0.1704196658089699,0.0030794578345846838,0.17333630015570636,52.02168303583814,79.99895050925943,0.17333630015570636,2.3322468697151585e-12,4,1
99223,500,50,2.2514747350726852e-07,0.09050507828659488,0.10773800078315171,0.0019501651495413544,0.10841009827257882,0.1205793320704617,0.1623705821568672,0.003200273996501713,0.16628314269791683,54.340289859843516,83.72796957465954,0.16628314269791683,9.230583262822606e-14,7,1
