method,replicate,high_count,high_type_counts,high_particle_volume_m3,effective_conductivity_W_mK,improvement_vs_homogeneous_percent,improvement_vs_random_mean_percent,heat_rate_hot_W,relative_energy_balance_error,thermally_solved_particles
homogeneous,0,0,{},0.0,0.09392563841884521,0.0,-15.558078698021783,0.001443696660239097,9.537576673678933e-14,497
random,1,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.10994757301944873,17.058105614525033,-1.1538865793962239,0.0016899639612960528,2.821295354755527e-12,497
random,2,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.11339959650272123,20.73337845949501,1.9495844239862947,0.0017430237526135587,2.0982105164914176e-12,497
random,3,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.11684727578241083,24.404026152423384,5.049149860121771,0.0017960167707655095,1.7365182887669056e-12,497
random,4,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.11139879365250073,18.603179629971734,0.15080360478458843,0.0017122701432552788,8.796355317820375e-13,497
random,5,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.10966857795925615,16.761067377799456,-1.4047113734888206,0.0016856756301928126,2.481152497946289e-12,497
random,6,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.10743198973157214,14.379834452120166,-3.415470206607707,0.001651297849972267,9.230142303556685e-13,497
random,7,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.11345676100720326,20.794239908450084,2.0009770008161842,0.0017439024073194966,1.55104297612056e-12,497
random,8,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.10953704833398849,16.621031464834847,-1.5229603889089005,0.0016836539363942074,1.4128435274099626e-13,497
random,9,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.10863861286254174,15.664492348815928,-2.3306803964802336,0.0016698444131223618,2.3213178285354043e-12,497
random,10,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.11360647945752052,20.953640954679464,2.1355783068277345,0.0017462036749002962,1.9970338613458066e-12,497
random,11,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.11100722388263325,18.186286248719053,-0.20122917612594993,0.0017062514674333765,4.149353317173836e-13,497
random,12,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.11248072337404433,19.75507994149148,1.1234903593153378,0.0017289000895819736,1.0008598401456796e-12,497
random,13,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.11173879843584232,18.96517321241127,0.4564779407864039,0.0017174962325152386,1.7612405803095225e-13,497
random,14,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.11332752671076146,20.65664776788301,1.8847915537608229,0.001741915994181378,2.104773180063712e-12,497
random,15,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.11132150842256837,18.520896207433026,0.08132190187988275,0.0017110822202321572,1.3990668411732956e-13,497
random,16,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.11158514465251558,18.801582327203192,0.31833865424177876,0.0017151344763690337,1.1740072294508914e-12,497
random,17,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.11286194151457532,20.160952232538378,1.466216719907698,0.0017347596542926535,1.1302264286980043e-12,497
random,18,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.11072190071774278,17.88251065592712,-0.4577431231259421,0.0017018658693456175,1.0804652221167424e-13,497
random,19,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.11055991440370044,17.71004835833805,-0.6033736007316826,0.0016993760369151526,2.6818974454418506e-12,497
random,20,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.10993914626400057,17.0491338837069,-1.1614624812731011,0.0016898344367178657,2.1314038456882197e-13,497
random,21,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.11099529800734025,18.17358910287714,-0.2119508900253808,0.0017060681591629108,2.815254243104831e-13,497
random,22,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.10893052703549344,15.975285203531442,-2.068240938689192,0.0016743313191861513,7.527044324230817e-13,497
random,23,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.11727215775490177,24.85638610402281,5.431131294453007,0.0018025474762790096,8.921200042667589e-13,497
random,24,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.11123466854190647,18.428440215518815,0.0032502859487193447,0.0017097474361647009,2.2245281031746305e-12,497
random,25,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.11006140797475766,17.179302507327932,-1.0515455945551477,0.0016917136767897619,9.155752801809857e-13,497
random,26,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.11172320525182891,18.94857158555421,0.44245920810090933,0.001717256555382758,1.0849240943988288e-12,497
random,27,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.11078859720842994,17.953520543972523,-0.3977810093460099,0.0017028910367277686,9.40763146620923e-13,497
random,28,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.11181875182424074,19.05029734863688,0.5283583969070138,0.001718725166826985,1.0641893772695113e-12,497
