case,seed,graph_file,metadata_file,particles,undirected_contact_edges,homogeneous_k_eff_W_mK,random_mean_k_eff_W_mK,heat_path_k_eff_W_mK,teacher_best_k_eff_W_mK
packing_seed_18427,18427,graph_packing_seed_18427.npz,graph_packing_seed_18427.json,500,1343,0.09392563841884521,0.11123105321461323,0.12185743181780974,0.1789481826350723
packing_seed_29173,29173,graph_packing_seed_29173.npz,graph_packing_seed_29173.json,500,1344,0.08614881799090231,0.10194278017026465,0.11045324644557976,0.15600268073055626
packing_seed_37811,37811,graph_packing_seed_37811.npz,graph_packing_seed_37811.json,500,1341,0.095574615678913,0.11316568628849416,0.12509606566159645,0.18101715679338773
packing_seed_46549,46549,graph_packing_seed_46549.npz,graph_packing_seed_46549.json,500,1347,0.09477348242471414,0.1121647598751567,0.12153241233901685,0.16918459118522747
packing_seed_55291,55291,graph_packing_seed_55291.npz,graph_packing_seed_55291.json,500,1367,0.09545881369324036,0.11329851166994748,0.12601608422575022,0.18219071624693065
packing_seed_64109,64109,graph_packing_seed_64109.npz,graph_packing_seed_64109.json,500,1325,0.08935447330742684,0.10561517617477682,0.12017572643697158,0.16894686215059884
packing_seed_72869,72869,graph_packing_seed_72869.npz,graph_packing_seed_72869.json,500,1347,0.09365574046715801,0.11074757091419682,0.12669375068080369,0.17539823277284528
packing_seed_81647,81647,graph_packing_seed_81647.npz,graph_packing_seed_81647.json,500,1355,0.09717201194959028,0.1147210385116395,0.1246714526770029,0.17497914338563886
packing_seed_90439,90439,graph_packing_seed_90439.npz,graph_packing_seed_90439.json,500,1382,0.09629850599978342,0.11402077433575278,0.12368911851993511,0.17333630015570636
packing_seed_99223,99223,graph_packing_seed_99223.npz,graph_packing_seed_99223.json,500,1332,0.09050507828659488,0.10773800078315171,0.1205793320704617,0.16628314269791683
