fold,test_case,test_seed,model,repeat,effective_conductivity_W_mK,random_mean_k_eff_W_mK,heat_path_k_eff_W_mK,teacher_best_k_eff_W_mK,improvement_vs_random_percent,recovered_optimizer_gain_fraction,difference_vs_heat_path_percent,difference_vs_teacher_percent,outperforms_heat_path,selected_count,jaccard_with_teacher_best,inference_time_s,training_time_s,best_epoch
1,packing_seed_18427,18427,mlp,1,0.12956511404570012,0.11123105321461323,0.12185743181780974,0.1789481826350723,16.482861845884432,0.27074480250410177,6.325163851651006,-27.596295118614712,1,50,0.20481927710843373,0.00011100107803940773,5.078783570090309,356
1,packing_seed_18427,18427,mlp,2,0.1290841035323427,0.11123105321461323,0.12185743181780974,0.1789481826350723,16.050419196591758,0.26364157002106486,5.930431658314972,-27.865093888333615,1,50,0.25,0.00011559296399354935,3.171199646079913,184
1,packing_seed_18427,18427,mlp,3,0.1302521087734693,0.11123105321461323,0.12185743181780974,0.1789481826350723,17.100490383882416,0.2808898682156677,6.888933100289285,-27.212388046940138,1,50,0.25,0.00010873819701373577,3.0835645080078393,201
1,packing_seed_18427,18427,mlp,ensemble,0.12986881700830705,0.11123105321461323,0.12185743181780974,0.1789481826350723,16.75589977354026,0.27522967900737494,6.574391952125835,-27.426579529367135,1,50,0.2345679012345679,0.00033533223904669285,11.333547724178061,247.0
1,packing_seed_18427,18427,gnn,1,0.132483326496746,0.11123105321461323,0.12185743181780974,0.1789481826350723,19.10642097502022,0.3138389572035212,8.719939785718722,-25.96553675713028,1,50,0.20481927710843373,0.0013124370016157627,5.849215092137456,22
1,packing_seed_18427,18427,gnn,2,0.13850766681123997,0.11123105321461323,0.12185743181780974,0.1789481826350723,24.522480735661347,0.4028022721882504,13.663700888037877,-22.599008957974377,1,50,0.21951219512195122,0.0013118709903210402,5.5389271029271185,22
1,packing_seed_18427,18427,gnn,3,0.14170020485089074,0.11123105321461323,0.12185743181780974,0.1789481826350723,27.39266666610558,0.44994747853372535,16.283596935431998,-20.814951700370766,1,50,0.2345679012345679,0.001326030120253563,6.154461167985573,38
1,packing_seed_18427,18427,gnn,ensemble,0.13968644730047536,0.11123105321461323,0.12185743181780974,0.1789481826350723,25.58223918905025,0.42020969183707046,14.631044833869433,-21.9402816818001,1,50,0.2345679012345679,0.003950338112190366,17.542603363050148,27.333333333333332
2,packing_seed_29173,29173,mlp,1,0.11669194598647893,0.10194278017026465,0.11045324644557976,0.15600268073055626,14.468082773081381,0.27283005820117856,5.648271772593816,-25.198755918799755,1,50,0.21951219512195122,0.00011237291619181633,2.604774170089513,151
2,packing_seed_29173,29173,mlp,2,0.11741282448915134,0.10194278017026465,0.11045324644557976,0.15600268073055626,15.175223093826418,0.28616486820269593,6.300926652256034,-24.736662255218743,1,50,0.20481927710843373,0.00011144601739943027,2.9585657408460975,167
