atom_id_i,atom_id_j,high_endpoint_count,conductance_W_K,signed_heat_rate_i_to_j_W,absolute_heat_rate_W,vertical_alignment
1,84,0,1.2251028536521078e-06,6.963903465771795e-20,6.963903465771795e-20,0.7148619074129714
1,280,1,0.0004528952145023818,1.5167475300308747e-05,1.5167475300308747e-05,0.47817635923530194
1,439,0,0.0002489502857656373,-1.1135593850533997e-05,1.1135593850533997e-05,0.34664072298610216
1,492,0,0.00021417414907937786,-4.031881449739764e-06,4.031881449739764e-06,0.22651296304146518
2,6,0,4.153958093064617e-05,-6.429623464861582e-07,6.429623464861582e-07,0.2542265373183735
2,81,0,7.6752169678403e-05,4.6616848342555045e-06,4.6616848342555045e-06,0.9513633459581574
2,204,0,0.0001257334875965192,-1.0978123905454762e-05,1.0978123905454762e-05,0.9886274000896872
2,209,0,0.00011343991843008559,-2.2174679781621437e-06,2.2174679781621437e-06,0.30516172601007263
2,236,0,0.00013175430674350677,9.176869395832198e-06,9.176869395832198e-06,0.6757550391568379
3,53,0,0.00012453195611582352,-3.584757179861213e-06,3.584757179861213e-06,0.37777532141748027
3,135,1,0.0003460739775996712,-1.0395025433682873e-05,1.0395025433682873e-05,0.03432676361359057
3,210,0,0.00011451279932924378,4.883756693825385e-06,4.883756693825385e-06,0.6901932192919006
3,494,0,0.00021060719154498262,9.096025919744836e-06,9.096025919744836e-06,0.4275116065787644
4,356,1,0.000268351457437393,2.8540820419436493e-05,2.8540820419436493e-05,0.6461350197995122
5,105,0,0.0001729745714425607,-5.664479089953313e-06,5.664479089953313e-06,0.2953660740877629
5,374,1,0.00028770583620120975,1.3967278541864817e-05,1.3967278541864817e-05,0.5128652612407901
5,475,0,0.00017071454965851107,-2.597783804753392e-06,2.597783804753392e-06,0.3354633321070565
5,500,0,0.00021130967768811466,-5.705015647126276e-06,5.705015647126276e-06,0.021876968626847317
6,127,0,0.00022949541624317537,-1.2877938408060899e-05,1.2877938408060899e-05,0.5987126878292682
6,146,0,0.00013866949064592218,5.469391859952082e-06,5.469391859952082e-06,0.39396954484110597
6,232,0,0.00023176126044837197,1.7772377618287634e-05,1.7772377618287634e-05,0.9024422770740669
6,324,0,0.00010724664931525877,-1.1006793416709387e-05,1.1006793416709387e-05,0.9528295381987968
7,123,2,0.002149837259087041,2.3283532334063156e-05,2.3283532334063156e-05,0.5125877064674508
7,146,1,0.00042158576756295664,1.9242753900706528e-05,1.9242753900706528e-05,0.6726482144920906
7,217,1,0.00044041187054608876,-4.0730561594219714e-05,4.0730561594219714e-05,0.924136680346337
7,260,1,0.0004089380132555141,1.7871064266519507e-05,1.7871064266519507e-05,0.5257777611000783
7,338,1,0.0002862069630992049,-1.290135541335965e-05,1.290135541335965e-05,0.5340323699049482
7,496,1,0.00041314496755457536,-6.76543349366251e-06,6.76543349366251e-06,0.11048502630711589
