atom_id_i,atom_id_j,high_endpoint_count,conductance_W_K,signed_heat_rate_i_to_j_W,absolute_heat_rate_W,vertical_alignment
1,84,0,1.2251028536521078e-06,6.963903465771795e-20,6.963903465771795e-20,0.7148619074129714
1,280,0,0.00024909236797631,2.1241535992406544e-05,2.1241535992406544e-05,0.47817635923530194
1,439,1,0.0004526368832102496,-1.8288715648643273e-05,1.8288715648643273e-05,0.34664072298610216
1,492,0,0.00021417414907937786,-2.9528203437972652e-06,2.9528203437972652e-06,0.22651296304146518
2,6,0,4.153958093064617e-05,-2.426551004684704e-07,2.426551004684704e-07,0.2542265373183735
2,81,1,0.00013954939941527818,9.389179758384004e-06,9.389179758384004e-06,0.9513633459581574
2,204,1,0.00022860634108458038,-1.7237502297028533e-05,1.7237502297028533e-05,0.9886274000896872
2,209,0,0.00011343991843008559,-2.3744307791890968e-06,2.3744307791890968e-06,0.30516172601007263
2,236,0,0.00013175430674350677,1.0465408418253926e-05,1.0465408418253926e-05,0.6757550391568379
3,53,0,0.00012453195611582352,-8.223224187995617e-06,8.223224187995617e-06,0.37777532141748027
3,135,0,0.00019034068767981917,-4.612349218290143e-06,4.612349218290143e-06,0.03432676361359057
3,210,0,0.00011451279932924378,6.641689791625413e-06,6.641689791625413e-06,0.6901932192919006
3,494,0,0.00021060719154498262,6.193883614656418e-06,6.193883614656418e-06,0.4275116065787644
4,356,0,0.00014759330159056614,1.2283318025688365e-05,1.2283318025688365e-05,0.6461350197995122
5,105,0,0.0001729745714425607,-5.838605429312786e-06,5.838605429312786e-06,0.2953660740877629
5,374,0,0.00015823820991066537,9.35140878219357e-06,9.35140878219357e-06,0.5128652612407901
5,475,0,0.00017071454965851107,-5.409630591607849e-06,5.409630591607849e-06,0.3354633321070565
5,500,0,0.00021130967768811466,1.8968272387517245e-06,1.8968272387517245e-06,0.021876968626847317
6,127,0,0.00022949541624317537,-1.2831121166906029e-05,1.2831121166906029e-05,0.5987126878292682
6,146,0,0.00013866949064592218,5.32737870734087e-06,5.32737870734087e-06,0.39396954484110597
6,232,0,0.00023176126044837197,1.746752073292925e-05,1.746752073292925e-05,0.9024422770740669
6,324,0,0.00010724664931525877,-1.0206433373867166e-05,1.0206433373867166e-05,0.9528295381987968
7,123,0,0.0002149837259087041,5.714502582866901e-06,5.714502582866901e-06,0.5125877064674508
7,146,0,0.00023187217215962615,1.6265113745084536e-05,1.6265113745084536e-05,0.6726482144920906
7,217,0,0.00024222652880034879,-1.8922881198622968e-05,1.8922881198622968e-05,0.924136680346337
7,260,0,0.00022491590729053278,1.4678664834185613e-05,1.4678664834185613e-05,0.5257777611000783
7,338,1,0.0002862069630992049,-1.8908203558600995e-05,1.8908203558600995e-05,0.5340323699049482
7,496,0,0.00022722973215501643,1.1728035951330374e-06,1.1728035951330374e-06,0.11048502630711589
8,171,0,0.00019464657247405452,-1.8768090375192679e-06,1.8768090375192679e-06,0.07799728360498204
8,273,1,0.00025725552268341095,4.041032768346539e-06,4.041032768346539e-06,0.11812449778671452
