atom_id_i,atom_id_j,high_endpoint_count,conductance_W_K,signed_heat_rate_i_to_j_W,absolute_heat_rate_W,vertical_alignment
1,84,1,2.2274597339129234e-06,0.0,0.0,0.7148619074129714
1,280,2,0.0024909236797631,0.00010292160965380659,0.00010292160965380659,0.47817635923530194
1,439,2,0.0024895028576563728,-9.527501368925977e-05,9.527501368925977e-05,0.34664072298610216
1,492,1,0.00038940754378068696,-7.646595964922605e-06,7.646595964922605e-06,0.22651296304146518
2,6,1,7.552651078299303e-05,-5.589854906853454e-06,5.589854906853454e-06,0.2542265373183735
2,81,0,7.6752169678403e-05,5.251330971912058e-06,5.251330971912058e-06,0.9513633459581574
2,204,0,0.0001257334875965192,-1.1937262355475636e-05,1.1937262355475636e-05,0.9886274000896872
2,209,0,0.00011343991843008559,-8.694635189341317e-07,8.694635189341317e-07,0.30516172601007263
2,236,0,0.00013175430674350677,1.3145249809330885e-05,1.3145249809330885e-05,0.6757550391568379
3,53,0,0.00012453195611582352,-5.187245488377486e-06,5.187245488377486e-06,0.37777532141748027
3,135,0,0.00019034068767981917,-2.2553265624451152e-06,2.2553265624451152e-06,0.03432676361359057
3,210,0,0.00011451279932924378,6.406049853793972e-06,6.406049853793972e-06,0.6901932192919006
3,494,0,0.00021060719154498262,1.0365221970002796e-06,1.0365221970002796e-06,0.4275116065787644
4,356,0,0.00014759330159056614,1.1067628222277499e-05,1.1067628222277499e-05,0.6461350197995122
5,105,0,0.0001729745714425607,-5.351950797050116e-06,5.351950797050116e-06,0.2953660740877629
5,374,0,0.00015823820991066537,9.062791171697318e-06,9.062791171697318e-06,0.5128652612407901
5,475,0,0.00017071454965851107,-5.397396218403253e-06,5.397396218403253e-06,0.3354633321070565
5,500,0,0.00021130967768811466,1.6865558437324714e-06,1.6865558437324714e-06,0.021876968626847317
6,127,1,0.0004172643931694098,-6.965594924290824e-06,6.965594924290824e-06,0.5987126878292682
6,146,1,0.0002521263466289494,2.4834159309137384e-05,2.4834159309137384e-05,0.39396954484110597
6,232,1,0.00042138410990613087,5.124510252936087e-05,5.124510252936087e-05,0.9024422770740669
6,324,2,0.0010724664931525878,-7.470352182121393e-05,7.470352182121393e-05,0.9528295381987968
7,123,2,0.002149837259087041,0.00021560273622948478,0.00021560273622948478,0.5125877064674508
7,146,1,0.00042158576756295664,2.1308883225153228e-05,2.1308883225153228e-05,0.6726482144920906
7,217,2,0.002422265288003488,-0.00024802774832624467,0.00024802774832624467,0.924136680346337
