atom_id,atom_type,x_m,y_m,z_m,radius_m,high_conductivity,temperature_K,contact_degree,absolute_heat_throughput_W,hot_wall_link,cold_wall_link,on_minimum_resistance_path
1,1,0.0151327,0.00115563,0.0017419,0.00075,0,300.8630355870358,4,3.0334950600582575e-05,0,0,0
2,1,0.0143213,0.013037,0.0102118,0.00075,0,300.37844371789043,5,2.7677108460190766e-05,0,0,0
3,1,0.00944696,0.00479737,0.00514464,0.00075,0,300.68206890479536,4,2.7959565227114307e-05,0,0,0
4,1,0.0109111,0.00425955,0.000707616,0.00075,0,300.91996041003483,1,2.8540820419436493e-05,1,0,0
5,1,0.00670849,0.000866951,0.0051779,0.00075,0,300.6608088546644,4,2.7934557083697796e-05,0,0,0
6,1,0.0148072,0.0143992,0.00983163,0.00075,0,300.3939220239321,5,4.7769463649496166e-05,0,0,0
7,1,0.0010147,0.000831218,0.00941065,0.00075,1,300.4001238439123,6,0.00012079470100253106,0,0,0
8,1,0.00451682,0.000645025,0.0146578,0.00075,0,300.06613292733095,3,2.208250027515613e-05,0,1,0
9,1,0.0147206,0.0139046,0.0127193,0.00075,0,300.19563664604715,3,5.896402723155342e-06,0,0,0
10,1,0.00355315,0.0144407,0.00649175,0.00075,0,300.55598399721634,4,4.081243273269481e-05,0,0,0
11,1,0.00900278,0.0131608,0.00991587,0.00075,0,300.35022248859514,3,5.027318912949418e-06,0,0,0
12,1,0.00433361,0.00239023,0.0146814,0.00075,0,300.05696950494996,3,2.4323806374266613e-05,0,1,0
13,1,0.0106765,0.0141214,0.00590043,0.00075,0,300.5997880602034,3,9.522966817246943e-06,0,0,0
14,1,0.00881584,0.0110499,0.00511223,0.00075,0,300.640461234792,4,5.5690918851616996e-05,0,0,0
15,1,0.00440735,0.00171469,0.00676586,0.00075,0,300.5490298598132,6,5.2130134276292915e-05,0,0,0
16,1,0.00732712,0.00481976,0.00574086,0.00075,0,300.6340096201133,4,3.403852438718884e-05,0,0,0
17,1,0.0129534,0.00863682,0.0112829,0.00075,0,300.3024447516072,6,4.9263334899497964e-05,0,0,0
18,1,0.014561,0.00517853,0.00553652,0.00075,0,300.6327184410972,4,4.1807692854154097e-05,0,0,0
19,1,0.00489308,0.00282388,0.00927113,0.00075,1,300.41016391974586,4,8.488091264833507e-05,0,0,0
20,1,0.00520413,0.0128654,0.00795112,0.00075,0,300.44357005521624,5,5.417781709673122e-05,0,0,0
21,1,0.0131483,0.0128473,0.00355844,0.00075,0,300.73792569858966,6,3.517476919985785e-05,0,0,0
22,1,0.0101335,0.00352324,0.00755119,0.00075,0,300.5613281870217,3,8.478602213773493e-06,0,0,0
23,1,0.00344209,0.0149641,0.00780268,0.00075,0,300.48629185400983,6,5.528695889901199e-05,0,0,0
24,1,0.0065052,0.0126342,0.00859981,0.00075,1,300.38148149567587,5,0.0001552390389791102,0,0,0
25,1,0.0151499,0.0117645,0.0146206,0.00075,0,300.2118259264456,1,0.0,0,0,0
26,1,0.00331565,0.0101723,0.00853776,0.00075,0,300.4302737231056,5,1.3268125087299504e-05,0,0,0
27,1,0.00614201,0.00943366,0.0120799,0.00075,0,300.23586705826904,4,4.20145712926479e-05,0,0,0
28,1,0.00809682,0.0118118,0.00060256,0.00075,0,300.9402895720748,3,3.971169937173664e-05,1,0,0
29,1,0.00901365,0.00584643,0.0138838,0.00075,0,300.1108844661742,3,3.389341437023586e-05,0,0,0
30,1,0.00360533,0.00803064,0.00957249,0.00075,0,300.3630332175064,5,2.569120116265747e-05,0,0,0
31,1,0.00154186,0.012482,0.00257877,0.00075,0,300.76157677030466,1,5.503840364735051e-21,0,0,0
32,1,0.00803572,0.00260863,0.00192811,0.00075,0,300.84837148574576,4,5.567514447015685e-05,0,0,0
33,1,0.0117285,0.0120384,0.00640567,0.00075,0,300.55779645453185,4,2.7586684609606706e-05,0,0,0
