atom_id,atom_type,x_m,y_m,z_m,radius_m,high_conductivity,temperature_K,contact_degree,absolute_heat_throughput_W,hot_wall_link,cold_wall_link,on_minimum_resistance_path
1,1,0.0151327,0.00115563,0.0017419,0.00075,0,300.9412756832292,4,4.248307198484715e-05,0,0,0
2,1,0.0143213,0.013037,0.0102118,0.00075,0,300.38611110310734,5,3.970917635332403e-05,0,0,0
3,1,0.00944696,0.00479737,0.00514464,0.00075,0,300.6363389784026,4,2.5671146812567588e-05,0,0,0
4,1,0.0109111,0.00425955,0.000707616,0.00075,0,300.96555278636913,1,1.2283318025688365e-05,1,0,0
5,1,0.00670849,0.000866951,0.0051779,0.00075,0,300.6584383962654,4,2.2496472041865932e-05,0,0,0
6,1,0.0148072,0.0143992,0.00983163,0.00075,0,300.39195264255073,5,4.607510908151178e-05,0,0,0
7,1,0.0010147,0.000831218,0.00941065,0.00075,0,300.42368172707603,6,7.566216951449404e-05,0,0,0
8,1,0.00451682,0.000645025,0.0146578,0.00075,0,300.0515816684579,3,2.5305742967677648e-05,0,1,0
9,1,0.0147206,0.0139046,0.0127193,0.00075,0,300.22081330932866,3,7.94560851023591e-06,0,0,0
10,1,0.00355315,0.0144407,0.00649175,0.00075,0,300.54026177343485,4,3.766438836402874e-05,0,0,0
11,1,0.00900278,0.0131608,0.00991587,0.00075,0,300.3552410792448,3,5.55149736577147e-06,0,0,0
12,1,0.00433361,0.00239023,0.0146814,0.00075,0,300.0482306342754,3,3.019724334186126e-05,0,1,0
13,1,0.0106765,0.0141214,0.00590043,0.00075,0,300.5993148170896,3,1.545343104930928e-05,0,0,0
14,1,0.00881584,0.0110499,0.00511223,0.00075,0,300.6646179989022,4,4.435043484867029e-05,0,0,0
15,1,0.00440735,0.00171469,0.00676586,0.00075,0,300.54348217614046,6,5.0423131137219405e-05,0,0,0
16,1,0.00732712,0.00481976,0.00574086,0.00075,0,300.602826250786,4,4.853753120687944e-05,0,0,0
17,1,0.0129534,0.00863682,0.0112829,0.00075,0,300.28557914998464,6,5.2810413075822385e-05,0,0,0
18,1,0.014561,0.00517853,0.00553652,0.00075,0,300.63143946349095,4,4.0078264915947826e-05,0,0,0
19,1,0.00489308,0.00282388,0.00927113,0.00075,0,300.3847228102353,4,7.271891260181098e-05,0,0,0
20,1,0.00520413,0.0128654,0.00795112,0.00075,0,300.4862545032986,5,4.579054915970931e-05,0,0,0
21,1,0.0131483,0.0128473,0.00355844,0.00075,1,300.74773769094566,6,6.9339434216295e-05,0,0,0
22,1,0.0101335,0.00352324,0.00755119,0.00075,1,300.5133856042389,3,1.859464043434067e-05,0,0,0
23,1,0.00344209,0.0149641,0.00780268,0.00075,1,300.50214369422145,6,9.207480465809317e-05,0,0,0
24,1,0.0065052,0.0126342,0.00859981,0.00075,0,300.4494617723609,5,6.019408251878617e-05,0,0,0
25,1,0.0151499,0.0117645,0.0146206,0.00075,0,300.1767200956863,1,0.0,0,0,0
26,1,0.00331565,0.0101723,0.00853776,0.00075,1,300.4531347157901,5,2.891967091716032e-05,0,0,0
27,1,0.00614201,0.00943366,0.0120799,0.00075,0,300.22514306767386,4,6.079811332353915e-05,0,0,0
28,1,0.00809682,0.0118118,0.00060256,0.00075,0,300.93726719184076,3,4.205679504668503e-05,1,0,0
29,1,0.00901365,0.00584643,0.0138838,0.00075,0,300.1496618140395,3,5.4234107965249286e-05,0,0,0
30,1,0.00360533,0.00803064,0.00957249,0.00075,0,300.37267911452943,5,3.1523374077318305e-05,0,0,0
