atom_id,atom_type,x_m,y_m,z_m,radius_m,high_conductivity,temperature_K,contact_degree,absolute_heat_throughput_W,hot_wall_link,cold_wall_link,on_minimum_resistance_path
1,1,0.0151327,0.00115563,0.0017419,0.00075,1,300.9087722021727,4,0.00020584321930798897,0,0,0
2,1,0.0143213,0.013037,0.0102118,0.00075,0,300.39918834410673,5,3.679316156250617e-05,0,0,0
3,1,0.00944696,0.00479737,0.00514464,0.00075,0,300.6411365092738,4,1.4885144101616853e-05,0,0,0
4,1,0.0109111,0.00425955,0.000707616,0.00075,0,300.9689620546368,1,1.1067628222277499e-05,1,0,0
5,1,0.00670849,0.000866951,0.0051779,0.00075,0,300.6715095068003,4,2.1498694030883158e-05,0,0,0
6,1,0.0148072,0.0143992,0.00983163,0.00075,1,300.4732001692116,5,0.00016333823349085646,0,0,0
7,1,0.0010147,0.000831218,0.00941065,0.00075,1,300.4252459010969,6,0.0005081033120470827,0,0,0
8,1,0.00451682,0.000645025,0.0146578,0.00075,0,300.0429167631064,3,1.4330371743005617e-05,0,1,0
9,1,0.0147206,0.0139046,0.0127193,0.00075,0,300.19137100394636,3,6.215140492430487e-06,0,0,0
10,1,0.00355315,0.0144407,0.00649175,0.00075,0,300.5810281460195,4,3.7024463825528444e-05,0,0,0
11,1,0.00900278,0.0131608,0.00991587,0.00075,0,300.3499886964028,3,7.789271564902504e-06,0,0,0
12,1,0.00433361,0.00239023,0.0146814,0.00075,0,300.03863269631546,3,1.6494688267330053e-05,0,1,0
13,1,0.0106765,0.0141214,0.00590043,0.00075,0,300.61392602757684,3,1.2581469985944003e-05,0,0,0
14,1,0.00881584,0.0110499,0.00511223,0.00075,0,300.66491290634167,4,4.6041125012339675e-05,0,0,0
15,1,0.00440735,0.00171469,0.00676586,0.00075,0,300.5820197577295,6,5.353484945164376e-05,0,0,0
16,1,0.00732712,0.00481976,0.00574086,0.00075,0,300.6201570193516,4,3.7079215759872556e-05,0,0,0
17,1,0.0129534,0.00863682,0.0112829,0.00075,0,300.2812410542811,6,5.6963588764788743e-05,0,0,0
18,1,0.014561,0.00517853,0.00553652,0.00075,0,300.66147857281675,4,3.3696388358862624e-05,0,0,0
19,1,0.00489308,0.00282388,0.00927113,0.00075,0,300.4022075983455,4,6.934082991724834e-05,0,0,0
20,1,0.00520413,0.0128654,0.00795112,0.00075,0,300.4856859682397,5,4.818626116900314e-05,0,0,0
21,1,0.0131483,0.0128473,0.00355844,0.00075,0,300.7591319584769,6,3.551016266469392e-05,0,0,0
22,1,0.0101335,0.00352324,0.00755119,0.00075,0,300.53759480703866,3,1.0782049165804917e-05,0,0,0
23,1,0.00344209,0.0149641,0.00780268,0.00075,0,300.51855433113803,6,5.987639282840189e-05,0,0,0
24,1,0.0065052,0.0126342,0.00859981,0.00075,0,300.4476352622932,5,6.039360759810909e-05,0,0,0
25,1,0.0151499,0.0117645,0.0146206,0.00075,0,300.15151242570795,1,0.0,0,0,0
26,1,0.00331565,0.0101723,0.00853776,0.00075,0,300.4388519685126,5,1.5471942277021416e-05,0,0,0
27,1,0.00614201,0.00943366,0.0120799,0.00075,0,300.219650765177,4,5.509041734272484e-05,0,0,0
28,1,0.00809682,0.0118118,0.00060256,0.00075,0,300.95058321633235,3,3.408100415913151e-05,1,0,0
29,1,0.00901365,0.00584643,0.0138838,0.00075,0,300.0923556557782,3,2.9562776422327133e-05,0,0,0
30,1,0.00360533,0.00803064,0.00957249,0.00075,0,300.33242253486685,5,3.771208396120883e-05,0,0,0
31,1,0.00154186,0.012482,0.00257877,0.00075,0,300.7963066559633,1,5.503840364735051e-21,0,0,0
32,1,0.00803572,0.00260863,0.00192811,0.00075,0,300.8681369605069,4,5.621897279681375e-05,0,0,0
33,1,0.0117285,0.0120384,0.00640567,0.00075,0,300.5761830052023,4,2.7542902156300797e-05,0,0,0
34,1,0.00589282,0.0104346,0.00926257,0.00075,0,300.3968070134034,3,2.0525534807151748e-05,0,0,0
35,1,0.0014993,0.0125015,0.0126506,0.00075,0,300.1515124257078,2,1.1139293703143552e-19,0,0,0
36,1,0.00455226,0.00648969,0.0147271,0.00075,1,300.0422959244493,3,0.0002390361340124879,0,1,0
37,1,0.00519157,0.00363314,0.0146867,0.00075,0,300.0531287350679,3,2.3652518951109244e-05,0,1,0
38,1,0.00935738,0.00719085,0.0025238,0.00075,0,300.8719272116871,5,8.502702262468622e-05,0,0,0
39,1,0.00904302,0.0137127,0.00310217,0.00075,0,300.7882086713725,5,2.3386689905795733e-05,0,0,0
40,1,0.0135203,0.00288739,0.00207765,0.00075,0,300.8943301058462,6,5.7320996935171575e-05,0,0,0
41,1,0.000439146,0.0110944,0.0134521,0.00075,0,300.15151242570795,3,6.773502664752269e-20,0,0,0
42,1,0.00988317,0.0135683,0.0110293,0.00075,0,300.30825484711465,4,3.111981317159267e-05,0,0,0
43,1,0.0141238,0.00807977,0.00377993,0.00075,0,300.7597226656196,3,3.0473831011579954e-05,0,0,0
44,1,0.00200279,0.00132408,0.0126816,0.00075,0,nan,0,0.0,0,0,0
45,1,0.0102279,0.0128672,0.00336011,0.00075,0,300.78719903868074,5,2.8532023955703033e-05,0,0,0
46,1,0.00295233,0.0096089,0.0147241,0.00075,0,300.04351622446535,3,2.4244295740898683e-05,0,1,0
47,1,0.00518597,0.00873135,0.000823127,0.00075,0,nan,0,0.0,0,0,0
48,1,0.00133145,0.00697416,0.0113659,0.00075,1,300.2775291815833,6,0.0002490333889556138,0,0,0
49,1,0.00446207,0.000609924,0.00765116,0.00075,0,300.50535171952,4,3.717681259617569e-05,0,0,0
50,1,0.00831433,0.000220829,0.0128202,0.00075,0,300.1599065845759,6,4.0473157270837667e-05,0,0,0
51,1,0.00464623,0.00358161,0.000637897,0.00075,0,300.94286072348973,2,3.313629759504191e-05,1,0,0
