id_i,id_j,edge_kind,distance_m,surface_gap_m,overlap_m,contact_radius_m,g_contact_W_K,g_gap_W_K,g_total_W_K,T_i_K,T_j_K,heat_i_to_j_W
1,84,contact,0.001499995997661328,-4.002338672070768e-09,4.002338672070768e-09,1.2251028536521078e-06,1.2251028536521078e-06,0.0,1.2251028536521078e-06,308.9842443393622,308.98424433936214,6.963903465771795e-20
1,280,contact,0.001605223648503894,-0.00014477635149610598,0.00014477635149610598,0.00024909236797631,0.00024909236797631,0.0,0.00024909236797631,308.9842443393622,308.50934134872546,0.0001182947104967358
1,439,contact,0.0018677840111300428,-0.00013221598886995725,0.00013221598886995725,0.0002489502857656373,0.0002489502857656373,0.0,0.0002489502857656373,308.9842443393622,309.2764986300805,-7.275678919055196e-05
1,492,contact,0.0019021427922477322,-9.785720775226789e-05,9.785720775226789e-05,0.00021417414907937786,0.00021417414907937786,0.0,0.00021417414907937786,308.9842443393622,309.1968653372834,-4.55379213061795e-05
2,6,contact,0.0014953985685762835,-4.601431423716541e-06,4.601431423716541e-06,4.153958093064617e-05,4.153958093064617e-05,0.0,4.153958093064617e-05,303.7621202564949,303.9188860624749,-6.511985884664227e-06
2,81,contact,0.001484290945199087,-1.5709054800912975e-05,1.5709054800912975e-05,7.6752169678403e-05,7.6752169678403e-05,0.0,7.6752169678403e-05,303.7621202564949,303.1153005375446,4.964481682020798e-05
2,204,contact,0.0017131125435592373,-3.688745644076278e-05,3.688745644076278e-05,0.0001257334875965192,0.0001257334875965192,0.0,0.0001257334875965192,303.7621202564949,304.69052135900745,-0.00011673110850735853
2,209,contact,0.0017199732314486763,-3.0026768551323765e-05,3.0026768551323765e-05,0.00011343991843008559,0.00011343991843008559,0.0,0.00011343991843008559,303.7621202564949,303.9772158982305,-2.4400432053155145e-05
2,236,contact,0.0017094952061939219,-4.050479380607818e-05,4.050479380607818e-05,0.00013175430674350677,0.00013175430674350677,0.0,0.00013175430674350677,303.7621202564949,303.0183213473955,9.799870962496574e-05
3,53,contact,0.001458644778415911,-4.135522158408905e-05,4.135522158408905e-05,0.00012453195611582352,0.00012453195611582352,0.0,0.00012453195611582352,306.5822943416602,307.1670912181867,-7.282589896427187e-05
