id,type,x_m,y_m,z_m,radius_m,conductivity_W_mK,temperature_K,g_hot_W_K,g_cold_W_K,hot_link,cold_link
1,1,0.0151327,0.00115563,0.0017419,0.00075,1.0,300.91139822462134,0.0,0.0,none,none
2,1,0.0143213,0.013037,0.0102118,0.00075,1.0,300.35456199385555,0.0,0.0,none,none
3,1,0.00944696,0.00479737,0.00514464,0.00075,1.0,300.6741399463846,0.0,0.0,none,none
4,1,0.0109111,0.00425955,0.000707616,0.00075,1.0,300.9799417756638,0.0003565837909944871,0.0,contact,none
5,1,0.00670849,0.000866951,0.0051779,0.00075,1.0,300.70916825320137,0.0,0.0,none,none
6,1,0.0148072,0.0143992,0.00983163,0.00075,1.0,300.34733282421786,0.0,0.0,none,none
7,1,0.0010147,0.000831218,0.00941065,0.00075,10.0,300.3230371700459,0.0,0.0,none,none
8,1,0.00451682,0.000645025,0.0146578,0.00075,1.0,300.03052092100927,0.0,0.0003339108242499867,none,contact
9,1,0.0147206,0.0139046,0.0127193,0.00075,1.0,300.16271032179463,0.0,0.0,none,none
10,1,0.00355315,0.0144407,0.00649175,0.00075,1.0,300.55161440275344,0.0,0.0,none,none
11,1,0.00900278,0.0131608,0.00991587,0.00075,1.0,300.33239482383857,0.0,0.0,none,none
12,1,0.00433361,0.00239023,0.0146814,0.00075,1.0,300.0230046895195,0.0,0.00042696187013749435,none,contact
13,1,0.0106765,0.0141214,0.00590043,0.00075,1.0,300.64223261780614,0.0,0.0,none,none
14,1,0.00881584,0.0110499,0.00511223,0.00075,1.0,300.7153418429289,0.0,0.0,none,none
15,1,0.00440735,0.00171469,0.00676586,0.00075,1.0,300.5315484796039,0.0,0.0,none,none
16,1,0.00732712,0.00481976,0.00574086,0.00075,1.0,300.64944182474835,0.0,0.0,none,none
17,1,0.0129534,0.00863682,0.0112829,0.00075,1.0,300.28591564134933,0.0,0.0,none,none
18,1,0.014561,0.00517853,0.00553652,0.00075,1.0,300.632504910328,0.0,0.0,none,none
19,1,0.00489308,0.00282388,0.00927113,0.00075,1.0,300.3693205914816,0.0,0.0,none,none
20,1,0.00520413,0.0128654,0.00795112,0.00075,1.0,300.48625568156115,0.0,0.0,none,none
21,1,0.0131483,0.0128473,0.00355844,0.00075,1.0,300.7583992263227,0.0,0.0,none,none
22,1,0.0101335,0.00352324,0.00755119,0.00075,1.0,300.5482439853283,0.0,0.0,none,none
23,1,0.00344209,0.0149641,0.00780268,0.00075,1.0,300.4544686444241,0.0,0.0,none,none
24,1,0.0065052,0.0126342,0.00859981,0.00075,10.0,300.45662488328185,0.0,0.0,none,none
25,1,0.0151499,0.0117645,0.0146206,0.00075,1.0,300.17075081164035,0.0,0.0,none,none
26,1,0.00331565,0.0101723,0.00853776,0.00075,1.0,300.4219062368601,0.0,0.0,none,none
27,1,0.00614201,0.00943366,0.0120799,0.00075,1.0,300.1706877774617,0.0,0.0,none,none
28,1,0.00809682,0.0118118,0.00060256,0.00075,1.0,300.9660051712532,0.0006650714247357196,0.0,contact,none
29,1,0.00901365,0.00584643,0.0138838,0.00075,1.0,300.08304961833744,0.0,0.0,none,none
30,1,0.00360533,0.00803064,0.00957249,0.00075,1.0,300.3338701588792,0.0,0.0,none,none
31,1,0.00154186,0.012482,0.00257877,0.00075,1.0,300.7745861573413,0.0,0.0,none,none
32,1,0.00803572,0.00260863,0.00192811,0.00075,1.0,300.9304741620467,0.0,0.0,none,none
33,1,0.0117285,0.0120384,0.00640567,0.00075,1.0,300.5823711181327,0.0,0.0,none,none
34,1,0.00589282,0.0104346,0.00926257,0.00075,1.0,300.3849861002603,0.0,0.0,none,none
35,1,0.0014993,0.0125015,0.0126506,0.00075,1.0,300.17075081164023,0.0,0.0,none,none
36,1,0.00455226,0.00648969,0.0147271,0.00075,10.0,300.03222366839753,0.0,0.005651516951680357,none,contact
37,1,0.00519157,0.00363314,0.0146867,0.00075,1.0,300.04580590385723,0.0,0.00044519258591232833,none,contact
38,1,0.00935738,0.00719085,0.0025238,0.00075,1.0,300.85894373523,0.0,0.0,none,none
39,1,0.00904302,0.0137127,0.00310217,0.00075,1.0,300.85612564016276,0.0,0.0,none,none
40,1,0.0135203,0.00288739,0.00207765,0.00075,1.0,300.9335033982277,0.0,0.0,none,none
41,1,0.000439146,0.0110944,0.0134521,0.00075,1.0,300.17075081164035,0.0,0.0,none,none
42,1,0.00988317,0.0135683,0.0110293,0.00075,1.0,300.2891730366116,0.0,0.0,none,none
43,1,0.0141238,0.00807977,0.00377993,0.00075,1.0,300.66943703852877,0.0,0.0,none,none
