id_i,id_j,edge_kind,distance_m,surface_gap_m,overlap_m,contact_radius_m,g_contact_W_K,g_gap_W_K,g_total_W_K,T_i_K,T_j_K,heat_i_to_j_W
1,84,contact,0.001499995997661328,-4.002338672070768e-09,4.002338672070768e-09,1.2251028536521078e-06,2.4502057073042156e-06,0.0,2.4502057073042156e-06,300.89842443393627,300.8984244339362,1.392780693154359e-19
1,280,contact,0.001605223648503894,-0.00014477635149610598,0.00014477635149610598,0.00024909236797631,0.00049818473595262,0.0,0.00049818473595262,300.89842443393627,300.85093413487255,2.3658942099372648e-05
1,439,contact,0.0018677840111300428,-0.00013221598886995725,0.00013221598886995725,0.0002489502857656373,0.0004979005715312746,0.0,0.0004979005715312746,300.89842443393627,300.9276498630081,-1.4551357838124544e-05
1,492,contact,0.0019021427922477322,-9.785720775226789e-05,9.785720775226789e-05,0.00021417414907937786,0.0004283482981587557,0.0,0.0004283482981587557,300.89842443393627,300.9196865337284,-9.107584261238334e-06
2,6,contact,0.0014953985685762835,-4.601431423716541e-06,4.601431423716541e-06,4.153958093064617e-05,8.307916186129234e-05,0.0,8.307916186129234e-05,300.37621202564947,300.3918886062475,-1.3023971769361511e-06
2,81,contact,0.001484290945199087,-1.5709054800912975e-05,1.5709054800912975e-05,7.6752169678403e-05,0.000153504339356806,0.0,0.000153504339356806,300.37621202564947,300.31153005375455,9.928963364024145e-06
2,204,contact,0.0017131125435592373,-3.688745644076278e-05,3.688745644076278e-05,0.0001257334875965192,0.0002514669751930384,0.0,0.0002514669751930384,300.37621202564947,300.4690521359007,-2.3346221701468845e-05
2,209,contact,0.0017199732314486763,-3.0026768551323765e-05,3.0026768551323765e-05,0.00011343991843008559,0.00022687983686017117,0.0,0.00022687983686017117,300.37621202564947,300.39772158982305,-4.8800864106361875e-06
2,236,contact,0.0017094952061939219,-4.050479380607818e-05,4.050479380607818e-05,0.00013175430674350677,0.00026350861348701355,0.0,0.00026350861348701355,300.37621202564947,300.3018321347395,1.959974192499315e-05
3,53,contact,0.001458644778415911,-4.135522158408905e-05,4.135522158408905e-05,0.00012453195611582352,0.00024906391223164704,0.0,0.00024906391223164704,300.6582294341661,300.71670912181884,-1.4565179792871365e-05
3,135,contact,0.0016654643194316716,-8.453568056832842e-05,8.453568056832842e-05,0.00019034068767981917,0.00038068137535963835,0.0,0.00038068137535963835,300.6582294341661,300.6697583685503,-4.3888505977928955e-06
3,210,contact,0.0017194025771761542,-3.059742282384586e-05,3.059742282384586e-05,0.00011451279932924378,0.00022902559865848755,0.0,0.00022902559865848755,300.6582294341661,300.5992012547354,1.3518964131836115e-05
3,494,contact,0.001905375169855008,-9.4624830144992e-05,9.4624830144992e-05,0.00021060719154498262,0.00042121438308996524,0.0,0.00042121438308996524,300.6582294341661,300.64532610874096,5.435066258766446e-06
4,356,contact,0.0016991711737597245,-5.0828826240275574e-05,5.0828826240275574e-05,0.00014759330159056614,0.0002951866031811323,0.0,0.0002951866031811323,300.96689370020397,300.88690924454204,2.3610339774136743e-05
5,105,contact,0.0016801861944799458,-6.981380552005425e-05,6.981380552005425e-05,0.0001729745714425607,0.0003459491428851214,0.0,0.0003459491428851214,300.67217548028725,300.7062116315899,-1.1774777370257896e-05
5,374,contact,0.0016915748941566259,-5.842510584337418e-05,5.842510584337418e-05,0.00015823820991066537,0.00031647641982133075,0.0,0.00031647641982133075,300.67217548028725,300.6200778331313,1.648767685303336e-05
5,475,contact,0.0019378272907411025,-6.217270925889759e-05,6.217270925889759e-05,0.00017071454965851107,0.00034142909931702214,0.0,0.00034142909931702214,300.67217548028725,300.6965868130852,-8.334739370338156e-06
5,500,contact,0.001904742869579403,-9.525713042059713e-05,9.525713042059713e-05,0.00021130967768811466,0.0004226193553762293,0.0,0.0004226193553762293,300.67217548028725,300.66360549918835,3.621839887604128e-06
6,127,contact,0.001627107659154534,-0.0001228923408454661,0.0001228923408454661,0.00022949541624317537,0.00045899083248635074,0.0,0.00045899083248635074,300.3918886062475,300.4552611045948,-2.9087395773163277e-05
6,146,contact,0.0017051318021826679,-4.486819781733217e-05,4.486819781733217e-05,0.00013866949064592218,0.00027733898129184435,0.0,0.00027733898129184435,300.3918886062475,300.3505320005239,1.1469798901069622e-05
6,232,contact,0.0016246690090292244,-0.0001253309909707756,0.0001253309909707756,0.00023176126044837197,0.00046352252089674394,0.0,0.00046352252089674394,300.3918886062475,300.3106275904777,3.766631088025977e-05
6,324,contact,0.0017231623644915165,-2.6837635508483552e-05,2.6837635508483552e-05,0.00010724664931525877,0.00021449329863051754,0.0,0.00021449329863051754,300.3918886062475,300.4914306960073,-2.1351111185150194e-05
7,123,contact,0.0016421579943869595,-0.00010784200561304055,0.00010784200561304055,0.0002149837259087041,0.0004299674518174082,0.0,0.0004299674518174082,300.417419538522,300.3760014624768,1.780842461633604e-05
7,146,contact,0.0016245490234819456,-0.0001254509765180544,0.0001254509765180544,0.00023187217215962615,0.0004637443443192523,0.0,0.0004637443443192523,300.417419538522,300.3505320005239,3.101871745204426e-05
7,217,contact,0.001613094720405779,-0.00013690527959422114,0.00013690527959422114,0.00024222652880034879,0.00048445305760069757,0.0,0.00048445305760069757,300.417419538522,300.5222055799875,-5.076391818183591e-05
7,260,contact,0.0016319632808445784,-0.0001180367191554216,0.0001180367191554216,0.00022491590729053278,0.00044983181458106556,0.0,0.00044983181458106556,300.417419538522,300.3741440092699,1.9466709850415085e-05
7,338,contact,0.0016921820678414002,-5.781793215859981e-05,5.781793215859981e-05,0.0001574138297045627,0.0003148276594091254,0.0,0.0003148276594091254,300.417419538522,300.47279086294475,-1.7432424466402495e-05
7,496,contact,0.0018898488508261536,-0.00011015114917384641,0.00011015114917384641,0.00022722973215501643,0.00045445946431003285,0.0,0.00045445946431003285,300.417419538522,300.41763409950704,-9.750927033094296e-08
8,171,contact,0.0016615963275895729,-8.840367241042717e-05,8.840367241042717e-05,0.00019464657247405452,0.00038929314494810905,0.0,0.00038929314494810905,300.0490901685804,300.06876380902855,-7.658813362643008e-06
8,273,contact,0.001703287664877838,-4.671233512216198e-05,4.671233512216198e-05,0.000141490537475876,0.000282981074951752,0.0,0.000282981074951752,300.0490901685804,300.07010768686246,-5.947559916276822e-06
8,383,contact,0.001675649291625489,-7.435070837451111e-05,7.435070837451111e-05,0.00017850655255021285,0.0003570131051004257,0.0,0.0003570131051004257,300.0490901685804,300.10280557497236,-1.9177104027729505e-05
9,81,contact,0.001498674751238574,-1.325248761426109e-06,1.325248761426109e-06,2.2292785504166834e-05,4.458557100833367e-05,0.0,4.458557100833367e-05,300.1871930694675,300.31153005375455,-5.54363544189129e-06
9,124,contact,0.0017486826441638864,-1.317355836113641e-06,1.317355836113641e-06,2.3760914810253662e-05,4.7521829620507323e-05,0.0,4.7521829620507323e-05,300.1871930694675,300.0633050962572,5.887383154931952e-06
