id_i,id_j,edge_kind,distance_m,surface_gap_m,overlap_m,contact_radius_m,g_contact_W_K,g_gap_W_K,g_total_W_K,T_i_K,T_j_K,heat_i_to_j_W
1,84,contact,0.001499995997661328,-4.002338672070768e-09,4.002338672070768e-09,1.2251028536521078e-06,1.2251028536521078e-06,0.0,1.2251028536521078e-06,300.8760097587922,300.8760097587921,6.963903465771795e-20
1,280,contact,0.001605223648503894,-0.00014477635149610598,0.00014477635149610598,0.00024909236797631,0.0004528952145023818,0.0,0.0004528952145023818,300.8760097587922,300.8351844821753,1.8489572410523537e-05
1,439,contact,0.0018677840111300428,-0.00013221598886995725,0.00013221598886995725,0.0002489502857656373,0.0002489502857656373,0.0,0.0002489502857656373,300.8760097587922,300.9195241044015,-1.0832908774342456e-05
1,492,contact,0.0019021427922477322,-9.785720775226789e-05,9.785720775226789e-05,0.00021417414907937786,0.00021417414907937786,0.0,0.00021417414907937786,300.8760097587922,300.911759468405,-7.656663636165734e-06
2,6,contact,0.0014953985685762835,-4.601431423716541e-06,4.601431423716541e-06,4.153958093064617e-05,4.153958093064617e-05,0.0,4.153958093064617e-05,300.3698849808199,300.37162538507414,-7.2295663370847e-08
2,81,contact,0.001484290945199087,-1.5709054800912975e-05,1.5709054800912975e-05,7.6752169678403e-05,7.6752169678403e-05,0.0,7.6752169678403e-05,300.3698849808199,300.2971605204397,5.581760122870365e-06
2,204,contact,0.0017131125435592373,-3.688745644076278e-05,3.688745644076278e-05,0.0001257334875965192,0.0001257334875965192,0.0,0.0001257334875965192,300.3698849808199,300.462508876288,-1.1645925411977103e-05
2,209,contact,0.0017199732314486763,-3.0026768551323765e-05,3.0026768551323765e-05,0.00011343991843008559,0.00011343991843008559,0.0,0.00011343991843008559,300.3698849808199,300.4052409189168,-4.010774733728137e-06
2,236,contact,0.0017094952061939219,-4.050479380607818e-05,4.050479380607818e-05,0.00013175430674350677,0.00013175430674350677,0.0,0.00013175430674350677,300.3698849808199,300.2928686317,1.0147235686208498e-05
3,53,contact,0.001458644778415911,-4.135522158408905e-05,4.135522158408905e-05,0.00012453195611582352,0.00012453195611582352,0.0,0.00012453195611582352,300.6848891651161,300.70635671537525,-2.673396026787994e-06
3,135,contact,0.0016654643194316716,-8.453568056832842e-05,8.453568056832842e-05,0.00019034068767981917,0.0003460739775996712,0.0,0.0003460739775996712,300.6848891651161,300.71519654373395,-1.0488595068903048e-05
3,210,contact,0.0017194025771761542,-3.059742282384586e-05,3.059742282384586e-05,0.00011451279932924378,0.00011451279932924378,0.0,0.00011451279932924378,300.6848891651161,300.6400086227434,5.139396542513699e-06
3,494,contact,0.001905375169855008,-9.4624830144992e-05,9.4624830144992e-05,0.00021060719154498262,0.00021060719154498262,0.0,0.00021060719154498262,300.6848891651161,300.64679647467017,8.022594553207931e-06
4,356,contact,0.0016991711737597245,-5.0828826240275574e-05,5.0828826240275574e-05,0.00014759330159056614,0.0014759330159056614,0.0,0.0014759330159056614,300.9727770412942,300.9070066729048,9.707265817418496e-05
5,105,contact,0.0016801861944799458,-6.981380552005425e-05,6.981380552005425e-05,0.0001729745714425607,0.0001729745714425607,0.0,0.0001729745714425607,300.67966613332834,300.71566799662565,-6.227406874986742e-06
5,374,contact,0.0016915748941566259,-5.842510584337418e-05,5.842510584337418e-05,0.00015823820991066537,0.00015823820991066537,0.0,0.00015823820991066537,300.67966613332834,300.61780363977056,9.789010241193607e-06
5,475,contact,0.0019378272907411025,-6.217270925889759e-05,6.217270925889759e-05,0.00017071454965851107,0.00017071454965851107,0.0,0.00017071454965851107,300.67966613332834,300.6929708427004,-2.2713074687869963e-06
5,500,contact,0.001904742869579403,-9.525713042059713e-05,9.525713042059713e-05,0.00021130967768811466,0.00021130967768811466,0.0,0.00021130967768811466,300.67966613332834,300.6857723179174,-1.2902958974149254e-06
6,127,contact,0.001627107659154534,-0.0001228923408454661,0.0001228923408454661,0.00022949541624317537,0.00022949541624317537,0.0,0.00022949541624317537,300.37162538507414,300.4366041782836,-1.49123351945783e-05
6,146,contact,0.0017051318021826679,-4.486819781733217e-05,4.486819781733217e-05,0.00013866949064592218,0.00013866949064592218,0.0,0.00013866949064592218,300.37162538507414,300.31195638955523,8.274269215960359e-06
6,232,contact,0.0016246690090292244,-0.0001253309909707756,0.0001253309909707756,0.00023176126044837197,0.00023176126044837197,0.0,0.00023176126044837197,300.37162538507414,300.28780470275774,1.9426386985291438e-05
6,324,contact,0.0017231623644915165,-2.6837635508483552e-05,2.6837635508483552e-05,0.00010724664931525877,0.00010724664931525877,0.0,0.00010724664931525877,300.37162538507414,300.4915416412199,-1.286061667006274e-05
7,123,contact,0.0016421579943869595,-0.00010784200561304055,0.00010784200561304055,0.0002149837259087041,0.00039087950165218925,0.0,0.00039087950165218925,300.3561932101934,300.30400515755525,2.0399240007395847e-05
7,146,contact,0.0016245490234819456,-0.0001254509765180544,0.0001254509765180544,0.00023187217215962615,0.00023187217215962615,0.0,0.00023187217215962615,300.3561932101934,300.31195638955523,1.0257287690806308e-05
7,217,contact,0.001613094720405779,-0.00013690527959422114,0.00013690527959422114,0.00024222652880034879,0.00024222652880034879,0.0,0.00024222652880034879,300.3561932101934,300.4850491189423,-3.121231949166136e-05
7,260,contact,0.0016319632808445784,-0.0001180367191554216,0.0001180367191554216,0.00022491590729053278,0.00022491590729053278,0.0,0.00022491590729053278,300.3561932101934,300.3278282019951,6.379741554225596e-06
7,338,contact,0.0016921820678414002,-5.781793215859981e-05,5.781793215859981e-05,0.0001574138297045627,0.0002862069630992049,0.0,0.0002862069630992049,300.3561932101934,300.3533104841236,8.25056273884206e-07
7,496,contact,0.0018898488508261536,-0.00011015114917384641,0.00011015114917384641,0.00022722973215501643,0.00022722973215501643,0.0,0.00022722973215501643,300.3561932101934,300.3854543723289,-6.649006034600154e-06
8,171,contact,0.0016615963275895729,-8.840367241042717e-05,8.840367241042717e-05,0.00019464657247405452,0.00019464657247405452,0.0,0.00019464657247405452,300.04030175953034,300.05846860080004,-3.5361133858280027e-06
8,273,contact,0.001703287664877838,-4.671233512216198e-05,4.671233512216198e-05,0.000141490537475876,0.000141490537475876,0.0,0.000141490537475876,300.04030175953034,300.0605966600274,-2.8715363793469124e-06
8,383,contact,0.001675649291625489,-7.435070837451111e-05,7.435070837451111e-05,0.00017850655255021285,0.00017850655255021285,0.0,0.00017850655255021285,300.04030175953034,300.0797935534036,-7.049543978338064e-06
9,81,contact,0.001498674751238574,-1.325248761426109e-06,1.325248761426109e-06,2.2292785504166834e-05,2.2292785504166834e-05,0.0,2.2292785504166834e-05,300.1739968605933,300.2971605204397,-2.7456610508639132e-06
9,124,contact,0.0017486826441638864,-1.317355836113641e-06,1.317355836113641e-06,2.3760914810253662e-05,2.3760914810253662e-05,0.0,2.3760914810253662e-05,300.1739968605933,300.05766269057415,2.764206303347117e-06
9,239,contact,0.0017496460178670359,-3.539821329641771e-07,3.539821329641771e-07,1.2316924470549406e-05,1.2316924470549406e-05,0.0,1.2316924470549406e-05,300.1739968605933,300.1755025329322,-1.8545252475724943e-08
