method,replicate,high_count,high_type_counts,high_particle_volume_m3,effective_conductivity_W_mK,improvement_vs_homogeneous_percent,improvement_vs_random_mean_percent,heat_rate_hot_W,relative_energy_balance_error,thermally_solved_particles
homogeneous,0,0,{},0.0,0.095574615678913,0.0,-15.544526955579197,0.0014690424870361862,7.772965983887203e-13,497
random,1,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.11198984271986763,17.17530007769248,-1.0390460281652358,0.001721354942453448,4.002469772710871e-12,497
random,2,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.11112006198898775,16.265245954323614,-1.8076365430166663,0.0017079858607261347,7.900522216862934e-13,497
random,3,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.11270426608810989,17.922803338016745,-0.4077386136359107,0.001732336082939592,5.984486079464699e-13,497
random,4,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.11140019445567989,16.558349373785198,-1.5600946636010193,0.0017122916744889808,1.127960720034504e-12,497
random,5,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.11513475713924876,20.465833235520293,1.739989315961754,0.0017696942725919519,8.050213399625101e-13,497
random,6,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.11538405020903568,20.726669303775513,1.9602796512771858,0.001773526065256136,2.8080637531322016e-12,497
random,7,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.11226940978659225,17.467811917513878,-0.7920037701331317,0.0017256520656600356,4.3967419354307775e-13,497
random,8,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.11669141791934494,22.094571963935206,3.1155483137022655,0.0017936211365151803,4.613366118380004e-13,497
random,9,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.11153130615217034,16.69553192540636,-1.4442364906949612,0.0017143069444570962,1.7323890569741666e-12,497
random,10,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.11038221858147933,15.493238238397012,-2.459639311441908,0.0016966447393759751,1.1070507573097689e-12,497
random,11,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.11473664959414455,20.04929214636575,1.3881975686919068,0.0017635751070163084,4.640322924359078e-13,497
random,12,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.1169384791813493,22.353072885178115,3.333866489562154,0.0017974186248776182,3.6867558767274726e-12,497
random,13,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.1127580898779659,17.979119326811134,-0.3601766788999705,0.0017331633887419761,1.2567552365068169e-12,497
random,14,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.11117185664312909,16.31943885248326,-1.7618676745194461,0.0017087819774250562,2.3247651323920168e-12,497
random,15,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.11396043162884162,19.237133018349304,0.7022847352521788,0.0017516441443634042,1.4174242998963307e-13,497
random,16,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.11131881318079576,16.47319990778311,-1.6320080479078736,0.0017110407926559262,8.272943359812257e-13,497
random,17,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.11259595593781302,17.809478110886623,-0.5034479702873185,0.0017306712872045202,3.638499271555583e-13,497
random,18,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.11188344997341593,17.063981035815146,-1.1330610515712491,0.0017197196184321085,1.7903600659193e-12,497
random,19,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.1105423246292541,15.66075766459345,-2.318159987606405,0.0016991056709208404,6.215110302283724e-14,497
random,20,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.11253766291905486,17.74848595481664,-0.5549591842162083,0.001729775286518093,1.0567643537607616e-12,497
random,21,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.11008042468519504,15.177470401780035,-2.7263225315789175,0.0016920059756956767,6.901191582884231e-13,497
random,22,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.11294029502267328,18.169761102781745,-0.19916926518369626,0.0017359639974290249,2.2836169582705175e-12,497
random,23,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.11584394127674356,21.207854673385484,2.3666670314018257,0.0017805948827771085,2.3284291939092307e-13,497
