id,type,x_m,y_m,z_m,radius_m,conductivity_W_mK,temperature_K,g_hot_W_K,g_cold_W_K,hot_link,cold_link
1,1,0.00610135,0.00588391,0.000726457,0.00075,1.0,300.96129060709,0.0002657611709787568,0.0,contact,none
2,1,0.0117176,0.00471581,0.0147385,0.00075,1.0,300.0446290818404,0.0,0.0005946397552731436,none,contact
3,1,0.0131593,0.00653798,0.0111459,0.00075,1.0,300.2443877899685,0.0,0.0,none,none
4,1,0.00564264,0.00496125,0.00781939,0.00075,1.0,300.44241413919957,0.0,0.0,none,none
5,1,0.0128613,0.0104839,0.0118079,0.00075,1.0,300.1868020532292,0.0,0.0,none,none
6,1,0.0107325,0.0109337,0.0120231,0.00075,1.0,300.19740495040145,0.0,0.0,none,none
7,1,0.015305,0.00018287,0.0146392,0.00075,1.0,300.04149590332617,0.0,0.00023600092913228927,none,contact
8,1,0.000408094,0.0135494,0.0105787,0.00075,1.0,300.31179301907036,0.0,0.0,none,none
9,1,0.00321948,0.00530743,0.00063973,0.00075,10.0,300.9656360490452,0.00575160847068018,0.0,contact,none
10,1,0.0151601,0.0113209,0.00665277,0.00075,1.0,300.579487634252,0.0,0.0,none,none
11,1,0.0133263,0.0106422,0.00707602,0.00075,1.0,300.5223216710633,0.0,0.0,none,none
12,1,0.00350727,0.00257492,0.00679885,0.00075,1.0,300.5400474824372,0.0,0.0,none,none
13,1,0.00929778,0.00416015,0.000599523,0.00075,10.0,300.9849259297163,0.006718861510702539,0.0,contact,none
14,1,0.0122971,0.0117598,0.00403535,0.00075,1.0,300.72131239008775,0.0,0.0,none,none
15,1,0.00324935,0.00513299,0.00402231,0.00075,1.0,300.70118203202105,0.0,0.0,none,none
16,1,0.0141789,0.0152014,0.00722503,0.00075,1.0,300.5083308011171,0.0,0.0,none,none
17,1,0.013219,0.012258,0.0145919,0.00075,1.0,nan,0.0,0.0,none,none
18,1,0.00420246,0.00130552,0.00695997,0.00075,1.0,300.51216817489967,0.0,0.0,none,none
19,1,0.00672953,0.00154997,0.00292604,0.00075,1.0,300.7600016785807,0.0,0.0,none,none
20,1,0.0134272,0.00509974,0.014677,0.00075,1.0,300.0376452828675,0.0,0.00041121337350736404,none,contact
21,1,0.0102559,0.0122012,0.0118239,0.00075,1.0,300.21454390804666,0.0,0.0,none,none
