id_i,id_j,edge_kind,distance_m,surface_gap_m,overlap_m,contact_radius_m,g_contact_W_K,g_gap_W_K,g_total_W_K,T_i_K,T_j_K,heat_i_to_j_W
1,28,contact,0.0014991333023787442,-8.666976212558762e-07,8.666976212558762e-07,1.8028078321633553e-05,1.8028078321633553e-05,0.0,1.8028078321633553e-05,300.58379626095643,300.62523201328327,-7.47006988263966e-07
1,76,contact,0.0015000042841675487,-0.0,0.0,8.660254037844388e-08,8.660254037844388e-08,0.0,8.660254037844388e-08,300.58379626095643,300.58379626095643,0.0
1,140,contact,0.001733423093188734,-1.6576906811265968e-05,1.6576906811265968e-05,8.428753545690905e-05,8.428753545690905e-05,0.0,8.428753545690905e-05,300.58379626095643,300.64658887274413,-5.292634492487653e-06
1,151,contact,0.0017273139260291061,-2.2686073970893924e-05,2.2686073970893924e-05,9.860326125632513e-05,9.860326125632513e-05,0.0,9.860326125632513e-05,300.58379626095643,300.5367587589392,4.638051100251514e-06
1,155,contact,0.0017332428492455982,-1.6757150754401857e-05,1.6757150754401857e-05,8.474453396886903e-05,8.474453396886903e-05,0.0,8.474453396886903e-05,300.58379626095643,300.567257254665,1.4015903804773394e-06
2,20,contact,0.001411210867057081,-8.878913294291897e-05,8.878913294291897e-05,0.00018247170973494662,0.00018247170973494662,0.0,0.00018247170973494662,300.57123137390477,300.57650202304364,-9.617443597842715e-07
2,30,contact,0.001442726799154989,-5.7273200845011024e-05,5.7273200845011024e-05,0.00014655186903236387,0.00014655186903236387,0.0,0.00014655186903236387,300.57123137390477,300.65830383800903,-1.276063235573375e-05
2,111,contact,0.0017292776115476662,-2.0722388452333812e-05,2.0722388452333812e-05,9.423918305263887e-05,9.423918305263887e-05,0.0,9.423918305263887e-05,300.57123137390477,300.5339730019351,3.5111985362904215e-06
2,257,contact,0.0016679491463171174,-8.205085368288259e-05,8.205085368288259e-05,0.00018752240287063903,0.00018752240287063903,0.0,0.00018752240287063903,300.57123137390477,300.51677826311425,1.0211178179219174e-05
3,46,contact,0.0014871386047372991,-1.2861395262700904e-05,1.2861395262700904e-05,6.944798934103736e-05,6.944798934103736e-05,0.0,6.944798934103736e-05,300.76764025652955,300.77063248622824,-2.0780433622063234e-07
3,144,contact,0.001738785341265563,-1.1214658734437066e-05,1.1214658734437066e-05,6.932735617891931e-05,6.932735617891931e-05,0.0,6.932735617891931e-05,300.76764025652955,300.6983300455279,4.8050936849484045e-06
3,241,contact,0.0017387927738520194,-1.1207226147980608e-05,1.1207226147980608e-05,6.930437879790221e-05,6.930437879790221e-05,0.0,6.930437879790221e-05,300.76764025652955,300.84333230533275,-5.245790422246629e-06
3,407,contact,0.001990619448602871,-9.38055139712915e-06,9.38055139712915e-06,6.631088498432431e-05,6.631088498432431e-05,0.0,6.631088498432431e-05,300.76764025652955,300.7578605488137,6.485010735251192e-07
4,9,contact,0.0014356701808594476,-6.432981914055239e-05,6.432981914055239e-05,0.000155318003392096,0.000155318003392096,0.0,0.000155318003392096,300.94383592861874,300.87403218206526,1.084177854397369e-05
4,253,contact,0.0016883619219494972,-6.163807805050284e-05,6.163807805050284e-05,0.00016253097909168336,0.00016253097909168336,0.0,0.00016253097909168336,300.94383592861874,300.85902725168773,1.3784037297066398e-05
5,24,contact,0.001441964312831979,-5.8035687168020954e-05,5.8035687168020954e-05,0.00014752417662202986,0.00014752417662202986,0.0,0.00014752417662202986,300.94177658056395,300.8669476907512,1.1039070357166516e-05
5,137,contact,0.0016915433002323648,-5.8456699767635246e-05,5.8456699767635246e-05,0.00015828098852669115,0.00015828098852669115,0.0,0.00015828098852669115,300.94177658056395,300.8673483432642,1.1780574974102278e-05
