id,type,x_m,y_m,z_m,radius_m,conductivity_W_mK,temperature_K,g_hot_W_K,g_cold_W_K,hot_link,cold_link
1,1,0.00642808,0.00850785,0.0115569,0.00075,1.0,300.2857695095188,0.0,0.0,none,none
2,1,0.0120993,0.00865447,0.0127393,0.00075,1.0,300.18348700942454,0.0,0.0,none,none
3,1,0.0038046,0.0107001,0.00256378,0.00075,1.0,300.8558286514552,0.0,0.0,none,none
4,1,0.000882812,0.00667697,0.00411837,0.00075,1.0,nan,0.0,0.0,none,none
5,1,0.0143451,0.0094767,0.00275256,0.00075,1.0,300.77714236915125,0.0,0.0,none,none
6,1,0.0151944,0.00208165,0.0146206,0.00075,1.0,300.1571909433184,0.0,0.0,none,none
7,1,0.007736,0.0137346,0.00683211,0.00075,1.0,300.5665262726003,0.0,0.0,none,none
8,1,0.00651416,0.00667835,0.00581867,0.00075,1.0,300.6108783114872,0.0,0.0,none,none
9,1,0.00398258,0.00278295,0.00234325,0.00075,1.0,300.8316891649998,0.0,0.0,none,none
10,1,0.00675508,0.0147449,0.00334001,0.00075,1.0,300.78246146996867,0.0,0.0,none,none
11,1,0.0082447,0.00308038,0.0102432,0.00075,1.0,300.3278979019079,0.0,0.0,none,none
12,1,0.00471972,0.00882049,0.000690137,0.00075,1.0,300.96150588728284,0.00042377942375721855,0.0,contact,none
13,1,0.00888319,0.0084004,0.013332,0.00075,1.0,300.15541510932184,0.0,0.0,none,none
14,1,0.0146381,0.00632593,0.000671169,0.00075,1.0,300.96019065615405,0.00048630545956219746,0.0,contact,none
15,1,0.00343829,0.00039352,0.00114378,0.00075,1.0,300.9074484502991,0.0,0.0,none,none
16,1,0.0138119,0.00618114,0.00212578,0.00075,1.0,300.82216063233,0.0,0.0,none,none
17,1,0.00114487,0.00491132,0.00496572,0.00075,1.0,300.65039801482556,0.0,0.0,none,none
18,1,0.0047474,0.00718742,0.00263053,0.00075,1.0,300.811727366849,0.0,0.0,none,none
19,1,0.00906804,0.0109464,0.0142583,0.00075,1.0,300.08947970952084,0.0,0.0,none,none
20,1,0.0093147,0.00643334,0.0146206,0.00075,1.0,300.0809829340999,0.0,0.0,none,none
21,1,0.00538414,0.0145883,0.0032387,0.00075,1.0,300.7824404775971,0.0,0.0,none,none
22,1,1.95902e-05,0.00795921,0.0102128,0.00075,1.0,300.330647541182,0.0,0.0,none,none
23,1,0.00304871,0.00577446,0.0100454,0.00075,1.0,300.3280000544337,0.0,0.0,none,none
24,1,0.0117395,0.00256314,0.0125983,0.00075,1.0,300.19126709544156,0.0,0.0,none,none
25,1,0.0116455,0.0062419,0.00848989,0.00075,1.0,300.4658627512243,0.0,0.0,none,none
26,1,0.0125226,0.00613472,0.00736303,0.00075,1.0,300.52714464409496,0.0,0.0,none,none
27,1,0.00519271,0.00279148,0.0127897,0.00075,1.0,300.1734308361524,0.0,0.0,none,none
28,1,0.00712106,0.00778574,0.00212049,0.00075,1.0,300.85567530217367,0.0,0.0,none,none
29,1,0.0147217,0.00314671,0.000656865,0.00075,1.0,300.95541916363686,0.0005285877410610278,0.0,contact,none
30,1,0.0060996,0.0026863,0.0076389,0.00075,1.0,300.515938430737,0.0,0.0,none,none
31,1,0.00687267,0.00686366,0.0118414,0.00075,1.0,300.23245875615544,0.0,0.0,none,none
32,1,0.00104496,0.00610336,0.0132362,0.00075,1.0,300.14145248010925,0.0,0.0,none,none
33,1,0.00872168,0.000245843,0.00957164,0.00075,1.0,300.371157147169,0.0,0.0,none,none
34,1,0.0113902,0.0148176,0.000693742,0.00075,1.0,300.9557707827677,0.0004108211289600378,0.0,contact,none
35,1,0.0109401,0.00598879,0.00207743,0.00075,1.0,300.8325211067481,0.0,0.0,none,none
36,1,0.000591021,0.00369357,0.0146665,0.00075,1.0,300.0447362340213,0.0,0.00037093993927764994,none,contact
37,1,0.00884155,0.000201353,0.00577441,0.00075,1.0,300.5595507474215,0.0,0.0,none,none
38,1,0.00476023,0.000881586,0.000707315,0.00075,1.0,300.95692218925876,0.00035784773298150145,0.0,contact,none
39,1,0.00663215,0.00466229,0.00508471,0.00075,1.0,300.6662996920824,0.0,0.0,none,none
40,1,0.0137217,0.000933779,0.0052833,0.00075,1.0,300.6519688359057,0.0,0.0,none,none
41,1,0.0152175,0.00973284,0.00518296,0.00075,1.0,300.6622733808908,0.0,0.0,none,none
42,1,0.0121289,0.00392921,0.0121523,0.00075,1.0,300.20512292581304,0.0,0.0,none,none
43,1,0.00747626,0.00212588,0.0110825,0.00075,1.0,300.2955556116824,0.0,0.0,none,none
44,1,0.00959909,0.0146924,0.0147973,0.00075,1.0,300.0585065999161,0.0,0.0007280085429109349,none,contact
45,1,0.00880302,0.00231363,0.00266004,0.00075,1.0,300.84374200703957,0.0,0.0,none,none
46,1,0.0108399,0.00979099,0.00501462,0.00075,1.0,300.678680534881,0.0,0.0,none,none
47,1,0.0152443,0.0149189,0.00987744,0.00075,1.0,300.35932799523937,0.0,0.0,none,none
48,1,7.34972e-05,0.00202894,0.0107569,0.00075,1.0,300.2878652861667,0.0,0.0,none,none
49,1,0.0136284,0.00513488,0.014764,0.00075,1.0,300.04644555371493,0.0,0.0006558173820136994,none,contact
50,1,0.00342795,0.00320626,0.0117655,0.00075,1.0,300.20841058878375,0.0,0.0,none,none
51,1,0.00933445,0.00381482,0.0146206,0.00075,1.0,nan,0.0,0.0,none,none
52,1,0.00313421,0.0152634,0.0115823,0.00075,1.0,300.2401557415319,0.0,0.0,none,none
53,1,0.0030031,0.00418865,0.0129802,0.00075,1.0,300.18053763644946,0.0,0.0,none,none
54,1,0.0124763,0.00736174,0.0132726,0.00075,1.0,300.13190089670206,0.0,0.0,none,none
55,1,0.00776602,0.00353625,0.0115583,0.00075,1.0,300.2638104764402,0.0,0.0,none,none
56,1,0.0124548,0.00797211,0.0146631,0.00075,1.0,300.03405639332345,0.0,0.0003569263769341021,none,contact
57,1,0.0050941,0.0111239,0.00699144,0.00075,1.0,300.5867969257649,0.0,0.0,none,none
58,1,0.00716683,0.0110802,0.003366,0.00075,1.0,300.82835152082424,0.0,0.0,none,none
59,1,0.00950464,0.0150695,0.000703828,0.00075,1.0,300.9568971520734,0.00037217737706636615,0.0,contact,none
60,1,0.00441645,0.0039621,0.0126031,0.00075,1.0,300.1845434808347,0.0,0.0,none,none
61,1,0.0118346,0.00377227,0.00248707,0.00075,1.0,300.83303035333296,0.0,0.0,none,none
62,1,0.01049,0.00556438,0.00784145,0.00075,1.0,300.5030666496341,0.0,0.0,none,none
63,1,0.00320212,0.0120724,0.00255199,0.00075,1.0,300.8466048203163,0.0,0.0,none,none
64,1,0.0119568,0.000804158,0.0105054,0.00075,1.0,300.3410511491091,0.0,0.0,none,none
65,1,0.0126913,0.00525232,0.0117669,0.00075,1.0,300.2365763142591,0.0,0.0,none,none
66,1,0.00786966,0.00306976,0.0146206,0.00075,1.0,nan,0.0,0.0,none,none
67,1,0.0132544,0.00572846,0.00619181,0.00075,1.0,300.58388038370117,0.0,0.0,none,none
68,1,0.00476754,0.003067,0.0083478,0.00075,1.0,300.4436753678078,0.0,0.0,none,none
