row_type,case,particles,contact_edges,mean_coordination,thermally_solved_particles,thermally_unanchored_particles,largest_component_size,spanning_component_count,hot_wall_links,cold_wall_links,heat_rate_hot_W,heat_rate_cold_W,relative_energy_balance_error,effective_conductivity_W_mK,temperature_min_K,temperature_max_K
CASE,packing_seed_18427,500,1343,5.372,497,3,497,1,42,41,0.001443696660239097,0.0014436966602392348,9.537576673678933e-14,0.09392563841884521,300.0406828429724,300.96689370020397
CASE,packing_seed_29173,500,1344,5.376,499,1,498,1,41,44,0.0013241619957097613,0.00132416199570964,9.154001041912386e-14,0.08614881799090231,300.02679778365086,301.0
CASE,packing_seed_37811,500,1341,5.364,497,3,496,1,42,43,0.0014690424870361862,0.0014690424870350443,7.772965983887203e-13,0.095574615678913,300.03917250588273,301.0
CASE,packing_seed_46549,500,1347,5.388,495,5,495,1,34,45,0.0014567285605836906,0.001456728560583096,4.0815872461017187e-13,0.09477348242471414,300.02830600402575,300.947272745247
CASE,packing_seed_55291,500,1367,5.468,494,6,494,1,38,28,0.001467262537037666,0.0014672625370395827,1.3062778828845466e-12,0.09545881369324036,300.06003067104086,300.96090752068744
CASE,packing_seed_64109,500,1325,5.3,489,11,489,1,39,40,0.0013734349519787027,0.0013734349519785676,9.836038503102597e-14,0.08935447330742684,300.0399138459962,300.9560431919866
CASE,packing_seed_72869,500,1347,5.388,491,9,491,1,43,42,0.001439548157465886,0.0014395481574653464,3.7476967910437684e-13,0.09365574046715801,300.04232958415423,300.96471366998276
CASE,packing_seed_81647,500,1355,5.42,493,7,493,1,39,36,0.0014935954812971492,0.0014935954812984316,8.585954802842783e-13,0.09717201194959028,300.0490131545293,300.96125745310394
CASE,packing_seed_90439,500,1382,5.528,496,4,496,1,39,30,0.0014801691405912005,0.0014801691405907222,3.231725249382951e-13,0.09629850599978342,300.049250047352,300.9628243823468
CASE,packing_seed_99223,500,1332,5.328,493,7,493,1,48,40,0.0013911204805909425,0.0013911204805925846,1.180438814147165e-12,0.09050507828659488,300.03405639332345,300.97286692618684
MEAN,MEAN,500.0,1348.3,5.3932,494.4,5.6,494.2,1.0,40.5,38.9,0.0014338760452530283,0.001433876045253225,5.513985866544493e-13,0.09328671782171684,300.04095528329276,300.96927795897454
STD,STD,0.0,16.472536065962778,0.06589014426385101,3.025814858109391,3.025814858109391,2.780887148615228,0.0,3.689323936863109,5.8013408411810765,5.3985584191359044e-05,5.398558419138834e-05,4.5208247793498554e-13,0.0035122547556132376,0.010065686353039309,0.017519879535113414
MIN,MIN,500.0,1325.0,5.3,489.0,1.0,489.0,1.0,34.0,28.0,0.0013241619957097613,0.00132416199570964,9.154001041912386e-14,0.08614881799090231,300.02679778365086,300.947272745247
MAX,MAX,500.0,1382.0,5.528,499.0,11.0,498.0,1.0,48.0,45.0,0.0014935954812971492,0.0014935954812984316,1.3062778828845466e-12,0.09717201194959028,300.06003067104086,301.0
CV_PERCENT,CV_PERCENT,0.0,1.2217263269274479,1.2217263269274459,0.6120175683878218,54.03240818052485,0.5627048054664565,0.0,9.109441819415085,14.913472599437217,3.7650105370044384,3.7650105370059648,81.98832729658352,3.7650105370044398,0.0033547707990515784,0.005821152130185716
